ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
11.17,11,1-clone,t7,,,,,,,,,
11.18,11,1-clone,t7,,,,,,,,,
11.19,11,1-clone,t7,,,,,,,,,
11.2,11,1-clone,t7,,,,,,,,,
11.21,11,1-clone,t7,,,,,,,,,
11.22,11,1-clone,t7,,,,,,,,,
11.23,11,1-clone,t7,,,,,,,,,
11.24,11,1-clone,t7,,,,,,,,,
12.1,12,1-clone,t7,,,,,,,,,
12.2,12,1-clone,t7,,,,,,,,,
12.3,12,1-clone,t7,,,,,,,,,
12.4,12,1-clone,t7,,,,,,,,,
12.5,12,1-clone,t7,,,,,,,,,
12.6,12,1-clone,t7,,,,,,,,,
12.7,12,1-clone,t7,,,,,,,,,
12.8,12,1-clone,t7,,,,,,,,,
12.9,12,1-clone,t7,,,,,,,,,
12.1,12,1-clone,t7,,,,,,,,,
12.11,12,1-clone,t7,,,,,,,,,
12.12,12,1-clone,t7,,,,,,,,,
12.13,12,1-clone,t7,,,,,,,,,
12.14,12,1-clone,t7,,,,,,,,,
12.15,12,1-clone,t7,,,,,,,,,
12.16,12,1-clone,t7,,,,,,,,,
12.17,12,1-clone,t7,,,,,,,,,
12.18,12,1-clone,t7,,,,,,,,,
12.19,12,1-clone,t7,,,,,,,,,
12.2,12,1-clone,t7,,,,,,,,,
12.21,12,1-clone,t7,,,,,,,,,
12.22,12,1-clone,t7,,,,,,,,,
12.23,12,1-clone,t7,,,,,,,,,
12.24,12,1-clone,t7,,,,,,,,,
.1.1,1,5-clone,t7,,,,,,,,,
.1.2,1,5-clone,t7,,,,,,,,,
.1.3,1,5-clone,t7,,,,,,,,,
.1.4,1,5-clone,t7,,,,,,,,,
.1.5,1,5-clone,t7,,,,,,,,,
.1.6,1,5-clone,t7,,,,,,,,,
.1.7,1,5-clone,t7,,,,,,,,,
.1.8,1,5-clone,t7,,,,,,,,,
.1.9,1,5-clone,t7,,,,,,,,,
.1.10,1,5-clone,t7,,,,,,,,,
.1.11,1,5-clone,t7,,,,,,,,,
.1.12,1,5-clone,t7,,,,,,,,,
.1.13,1,5-clone,t7,,,,,,,,,
.1.14,1,5-clone,t7,,,,,,,,,
.1.15,1,5-clone,t7,,,,,,,,,
.1.16,1,5-clone,t7,,,,,,,,,
.1.17,1,5-clone,t7,,,,,,,,,
.1.18,1,5-clone,t7,,,,,,,,,
.1.19,1,5-clone,t7,,,,,,,,,
.1.20,1,5-clone,t7,,,,,,,,,
.1.21,1,5-clone,t7,,,,,,,,,
.1.22,1,5-clone,t7,,,,,,,,,
.1.23,1,5-clone,t7,,,,,,,,,
.1.24,1,5-clone,t7,,,,,,,,,
.2.1,2,5-clone,t7,,,,,,,,,
.2.2,2,5-clone,t7,,,,,,,,,
.2.3,2,5-clone,t7,,,,,,,,,
.2.4,2,5-clone,t7,,,,,,,,,
.2.5,2,5-clone,t7,,,,,,,,,
.2.6,2,5-clone,t7,,,,,,,,,
.2.7,2,5-clone,t7,,,,,,,,,
.2.8,2,5-clone,t7,,,,,,,,,
.2.9,2,5-clone,t7,,,,,,,,,
.2.10,2,5-clone,t7,,,,,,,,,
.2.11,2,5-clone,t7,,,,,,,,,
.2.12,2,5-clone,t7,,,,,,,,,
.2.13,2,5-clone,t7,,,,,,,,,
.2.14,2,5-clone,t7,,,,,,,,,
.2.15,2,5-clone,t7,,,,,,,,,
.2.16,2,5-clone,t7,,,,,,,,,
.2.17,2,5-clone,t7,,,,,,,,,
.2.18,2,5-clone,t7,,,,,,,,,
.2.19,2,5-clone,t7,,,,,,,,,
.2.20,2,5-clone,t7,,,,,,,,,
.2.21,2,5-clone,t7,,,,,,,,,
.2.22,2,5-clone,t7,,,,,,,,,
.2.23,2,5-clone,t7,,,,,,,,,
.2.24,2,5-clone,t7,,,,,,,,,
.3.1,3,5-clone,t7,,,,,,,,,
.3.2,3,5-clone,t7,,,,,,,,,
.3.3,3,5-clone,t7,,,,,,,,,
.3.4,3,5-clone,t7,,,,,,,,,
.3.5,3,5-clone,t7,,,,,,,,,
.3.6,3,5-clone,t7,,,,,,,,,
.3.7,3,5-clone,t7,,,,,,,,,
.3.8,3,5-clone,t7,,,,,,,,,
.3.9,3,5-clone,t7,,,,,,,,,
.3.10,3,5-clone,t7,,,,,,,,,
.3.11,3,5-clone,t7,,,,,,,,,
.3.12,3,5-clone,t7,,,,,,,,,
.3.13,3,5-clone,t7,,,,,,,,,
.3.14,3,5-clone,t7,,,,,,,,,
.3.15,3,5-clone,t7,,,,,,,,,
.3.16,3,5-clone,t7,,,,,,,,,
.3.17,3,5-clone,t7,,,,,,,,,
.3.18,3,5-clone,t7,,,,,,,,,
.3.19,3,5-clone,t7,,,,,,,,,
.3.20,3,5-clone,t7,,,,,,,,,
.3.21,3,5-clone,t7,,,,,,,,,
.3.22,3,5-clone,t7,,,,,,,,,
